All Packages,I9500-sysconf,slp-basefw,slp-sensorfw,slp-netfw,slp-winfw,slp-mmfw,slp-uifw,slp-api,slp-appfw,slp-apps
activesync-ui,,,,,,,,,,x
admin,,,,,,,,,,x
admin-lbs,,,,,,,,,,x
ail,,,,,,,,,x,
air-runtime2,,,,,,x,,,,
alarm-server,,x,,,,,,,,
alert-3g-syspopup,,x,,,,,,,,
alsa-lib,,x,,,,,,,,
alsa-scenario,,x,,,,,,,,
alsa-scenario-scn-data-0-base,,x,,,,,,,,
alsa-scenario-scn-data-0-wm8994,x,,,,,,,,,
alsa-utils,,x,,,,,,,,
app-backup,,,,,,,,,x,
app-checker,,,,,,,,,x,
app-checker-server,,,,,,,,,x,
app-core-common,,,,,,,,,x,
app-core-efl,,,,,,,,,x,
app-core-template,,,,,,,,,x,
app-selector,,,,,,,,,x,
app-svc,,,,,,,,,x,
arcsoft-engine,,,,,,x,,,,
assimp,,,,,,x,,,,
audio-session-manager,,,,,,x,,,,
augeas,,x,,,,,,,,
augeas-libs,,x,,,,,,,,
aul,,,,,,,,,x,
avsystem,,,,,,x,,,,
bluetooth,,,,x,,,,,,
bluetooth-dev-tool,,,,x,,,,,,
bluetooth-engine,,,,x,,,,,,
bluetooth-frwk,,,,x,,,,,,
bluetooth-frwk-agent,,,,x,,,,,,
bluetooth-frwk-test,,,,x,,,,,,
bluetooth-header,,,,x,,,,,,
bluetooth-share,,,,x,,,,,,
bluetooth-testmode,,,,x,,,,,,
bluez,,,,x,,,,,,
bluez-alsa,,,,x,,,,,,
bluez-gstreamer,,,,x,,,,,,
bluez-hcidump,,,,x,,,,,,
bluez-libs,,,,x,,,,,,
boost,,,,,,x,,,,
boost-program-options,,,,,,x,,,,
boost-static,,,,,,x,,,,
boost-test,,,,,,x,,,,
boost-thread,,,,,,x,,,,
boot-animation,,x,,,,,,,,
bootchart,,x,,,,,,,,
brcm-gps-daemon,,,,x,,,,,,
browser,,,,,,,,,,x
bt-syspopup,,,,x,,,,,,
btrfs-progs,,x,,,,,,,,
btstack-bluez,,,,x,,,,,,
btstack-bluez-tools,,,,x,,,,,,
bullet,,x,,,,,,,,
bundle,,x,,,,,,,,
busybox,,x,,,,,,,,
busybox-symlinks-adduser,,x,,,,,,,,
busybox-symlinks-adjtimex,,x,,,,,,,,
busybox-symlinks-binutils,,x,,,,,,,,
busybox-symlinks-bridge-utils,,x,,,,,,,,
busybox-symlinks-bsdmainutils,,x,,,,,,,,
busybox-symlinks-busybox,,x,,,,,,,,
busybox-symlinks-bzip2,,x,,,,,,,,
busybox-symlinks-console-tools,,x,,,,,,,,
busybox-symlinks-cpio,,x,,,,,,,,
busybox-symlinks-cron,,x,,,,,,,,
busybox-symlinks-daemontools,,x,,,,,,,,
busybox-symlinks-dc,,x,,,,,,,,
busybox-symlinks-dnsutils,,x,,,,,,,,
busybox-symlinks-dosfstools,,x,,,,,,,,
busybox-symlinks-ed,,x,,,,,,,,
busybox-symlinks-eject,,x,,,,,,,,
busybox-symlinks-fbset,,x,,,,,,,,
busybox-symlinks-fdflush,,x,,,,,,,,
busybox-symlinks-hdparm,,x,,,,,,,,
busybox-symlinks-ifupdown,,x,,,,,,,,
busybox-symlinks-initscripts,,x,,,,,,,,
busybox-symlinks-ipcalc,,x,,,,,,,,
busybox-symlinks-iproute,,x,,,,,,,,
busybox-symlinks-ipsvd,,x,,,,,,,,
busybox-symlinks-iputils-arping,,x,,,,,,,,
busybox-symlinks-iputils-ping,,x,,,,,,,,
busybox-symlinks-klogd,,x,,,,,,,,
busybox-symlinks-loadlin,,x,,,,,,,,
busybox-symlinks-lrzsz,,x,,,,,,,,
busybox-symlinks-lzma,,x,,,,,,,,
busybox-symlinks-lzop,,x,,,,,,,,
busybox-symlinks-module-init-tools,,x,,,,,,,,
busybox-symlinks-mtd-utils,,x,,,,,,,,
busybox-symlinks-net-tools,,x,,,,,,,,
busybox-symlinks-openbsd-inetd,,x,,,,,,,,
busybox-symlinks-passwd,,x,,,,,,,,
busybox-symlinks-patch,,x,,,,,,,,
busybox-symlinks-ppp,,x,,,,,,,,
busybox-symlinks-procps,,x,,,,,,,,
busybox-symlinks-psmisc,,x,,,,,,,,
busybox-symlinks-rdate,,x,,,,,,,,
busybox-symlinks-realpath,,x,,,,,,,,
busybox-symlinks-runit,,x,,,,,,,,
busybox-symlinks-sharutils,,x,,,,,,,,
busybox-symlinks-ssmtp,,x,,,,,,,,
busybox-symlinks-sysklogd,,x,,,,,,,,
busybox-symlinks-telnetd,,x,,,,,,,,
busybox-symlinks-tftp,,x,,,,,,,,
busybox-symlinks-time,,x,,,,,,,,
busybox-symlinks-tofrodos,,x,,,,,,,,
busybox-symlinks-udhcpc,,x,,,,,,,,
busybox-symlinks-udhcpd,,x,,,,,,,,
busybox-symlinks-unzip,,x,,,,,,,,
busybox-symlinks-vlan,,x,,,,,,,,
busybox-symlinks-vlock,,x,,,,,,,,
busybox-symlinks-watchdog,,x,,,,,,,,
busybox-symlinks-wget,,x,,,,,,,,
busybox-symlinks-xterm,,x,,,,,,,,
busybox-symlinks-zcip,,x,,,,,,,,
byacc,,x,,,,,,,,
c-ares,,x,,,,,,,,
ca-certificates,,x,,,,,,,,
cairo,,,,,x,,,,,
calculator,,,,,,,,,,x
calendar,,,,,,,,,,x
call,,,,,,,,,,x
call-setting,,,,,,,,,,x
camera-app,,,,,,,,,,x
camera-external-engine,,,,,,x,,,,
camera-firmware,,,,,,x,,,,
camera-firmware-m5ls,,,,,,x,,,,
capi-appfw-app-manager,,,,,,,,x,,
capi-appfw-application,,,,,,,,x,,
capi-base-common,,,,,,,,x,,
capi-content-media-content,,,,,,,,x,,
capi-location-geocoder,,,,,,,,x,,
capi-location-manager,,,,,,,,x,,
capi-media-audio-io,,,,,,,,x,,
capi-media-camera,,,,,,,,x,,
capi-media-metadata-extractor,,,,,,,,x,,
capi-media-player,,,,,,,,x,,
capi-media-radio,,,,,,,,x,,
capi-media-recorder,,,,,,,,x,,
capi-media-sound-manager,,,,,,,,x,,
capi-media-tone-player,,,,,,,,x,,
capi-media-wav-player,,,,,,,,x,,
capi-messaging-email,,,,,,,,x,,
capi-messaging-mms,,,,,,,,x,,
capi-messaging-sms,,,,,,,,x,,
capi-network-bluetooth,,,,,,,,x,,
capi-network-connection,,,,,,,,x,,
capi-network-nfc,,,,,,,,x,,
capi-social-calendar,,,,,,,,x,,
capi-social-call-log,,,,,,,,x,,
capi-social-contacts,,,,,,,,x,,
capi-system-device,,,,,,,,x,,
capi-system-haptic,,,,,,,,x,,
capi-system-info,,,,,,,,x,,
capi-system-power,,,,,,,,x,,
capi-system-runtime-info,,,,,,,,x,,
capi-system-sensor,,,,,,,,x,,
capi-telephony-call,,,,,,,,x,,
capi-telephony-network-info,,,,,,,,x,,
capi-telephony-sim,,,,,,,,x,,
